	Ret	ANC	BrL	VL	Sup	BuL	OLe	OLl	SG	Sub	GFL	BM	DCI	Hep	MDC	Tes	MVI	Man	Hea	MVC	Gil	Kid	Ten	Suc	MDI
Ret	1.0	0.707707470105797	0.6532079672995769	0.7291961869068708	0.6633237539747857	0.662416994316649	0.6675431408583151	0.6756783326318855	0.6302231833950747	0.6318654041403201	0.56364432345279	0.7112339243094103	0.7228071605758721	0.6553962039764769	0.728903069929228	0.6718715448374473	0.7361230833174183	0.6365720217958785	0.7632006890321699	0.7302273186302156	0.7048739627992289	0.7093451644873625	0.7121298150469287	0.7430722075338015	0.807027092277108
ANC	0.707707470105797	1.0	0.7804215464042219	0.7416610899397793	0.756200878097302	0.7866849927238784	0.7384482734821751	0.7427641083915782	0.7800796992266382	0.7804013229702194	0.6886071742342196	0.6992900922253396	0.6685969027279164	0.6149450735462947	0.6809949121894603	0.6435089692634635	0.6998464295824346	0.6608988181169165	0.703893186504701	0.6791244259550138	0.6801107119366745	0.6843819862961388	0.7116296262747658	0.7260668650722109	0.735560875289861
BrL	0.6532079672995769	0.7804215464042219	1.0	0.9231313038790737	0.9552515302918371	0.9614182759238961	0.9372746936822525	0.9344994142434145	0.8791855957308798	0.936144583332643	0.8440714529463003	0.4209006411351562	0.4288697449462687	0.3510645576913461	0.43176344429330094	0.391989443114903	0.44518379733952423	0.36701280776666084	0.45253161373464135	0.4221633979471275	0.419018016911326	0.41359545414079907	0.42792176064590437	0.46408540060411513	0.5395735801963139
VL	0.7291961869068708	0.7416610899397793	0.9231313038790737	1.0	0.9393223177002016	0.9215876136372259	0.9397717465424681	0.9411677927171042	0.8131216369465247	0.8771523786416617	0.7915561361904956	0.4538778002825526	0.466721220974272	0.3815997222463567	0.4701273210705216	0.42723495595492045	0.4879780485160502	0.3942180617492312	0.4962946780870366	0.45731821049567695	0.44742272801996064	0.4495219661003239	0.4537083316825135	0.4947317977499861	0.5978163105548423
Sup	0.6633237539747857	0.756200878097302	0.9552515302918371	0.9393223177002016	1.0	0.9488644311866535	0.9533885533198517	0.951477834625552	0.8449202389143691	0.9212627680233952	0.8236108006336481	0.41265604458657623	0.4229452725697511	0.3423707787573159	0.4253408091058439	0.3866300782588398	0.44360728433264085	0.3582298147947285	0.44756580791764905	0.4142905591013655	0.40562417034515175	0.4079266998454621	0.41543087009503576	0.4532326590456417	0.542662383231417
BuL	0.662416994316649	0.7866849927238784	0.9614182759238961	0.9215876136372259	0.9488644311866535	1.0	0.9324676481416465	0.9309715264023726	0.8997374955154114	0.9431178368103831	0.8702491156240231	0.4236987312410995	0.4297446498173125	0.3510313898897287	0.4329781003396382	0.38994942734740634	0.44974127183579965	0.36709546181816227	0.4542613168251269	0.4227042945247055	0.4164756638287301	0.41471817305561687	0.4292511720701773	0.46456411210904697	0.5435388299399273
OLe	0.6675431408583151	0.7384482734821751	0.9372746936822525	0.9397717465424681	0.9533885533198517	0.9324676481416465	1.0	0.9729698099464461	0.8248539061641009	0.9053092021381886	0.8165893965818192	0.3956782153110529	0.40721180250982153	0.32492621798873117	0.407743851015971	0.37193035275939673	0.43174882360681566	0.3428959051877781	0.4327119881569802	0.3984967808369945	0.38945020274897724	0.39249635607913047	0.398793263549089	0.43481116925869195	0.5339552972908401
OLl	0.6756783326318855	0.7427641083915782	0.9344994142434145	0.9411677927171042	0.951477834625552	0.9309715264023726	0.9729698099464461	1.0	0.8249646579336204	0.903748083580683	0.8174200336990164	0.40315670172875784	0.4122384859849833	0.33026619334565577	0.41402785934770536	0.3795414280653043	0.4373557599706075	0.34880526209991997	0.4405884819934294	0.405673349280794	0.3977048902598851	0.3987017605403908	0.4060804532767454	0.4421958883042529	0.539938256930167
SG	0.6302231833950747	0.7800796992266382	0.8791855957308798	0.8131216369465247	0.8449202389143691	0.8997374955154114	0.8248539061641009	0.8249646579336204	1.0	0.9283350942563428	0.9172978389519627	0.4127523513327988	0.41778799281811807	0.34962514285625096	0.4229973076290992	0.376598917746186	0.43380915541828363	0.3627286634164214	0.4387403246300423	0.41500424302009437	0.4118033338998892	0.40371952616217766	0.42837806116491156	0.45322264067350965	0.5156040497485798
Sub	0.6318654041403201	0.7804013229702194	0.936144583332643	0.8771523786416617	0.9212627680233952	0.9431178368103831	0.9053092021381886	0.903748083580683	0.9283350942563428	1.0	0.900718117533809	0.3956383611405386	0.39757443260800146	0.3211342372064847	0.40079363806628776	0.35970720095676156	0.4195626279319358	0.3438303508839056	0.4244539474632948	0.3919841363598644	0.3869471323186359	0.38774355663278615	0.4054313955163671	0.4331876384290523	0.509362613241876
