variable	count	mean	std	min	25%	50%	75%	max
ANC	3513.0	0.12698660186115404	0.11327982112254553	0.0	0.045454545454545456	0.09523809523809523	0.18055555555555555	0.8620689655172413
BM	3513.0	0.015889292701383995	0.0459812161074477	0.0	0.0	0.0	0.01058201058201058	0.6388888888888888
BrL	3513.0	0.3251678051297566	0.2036395970468065	0.0	0.1693548387096774	0.2765957446808511	0.4562211981566821	0.9540229885057472
BuL	3513.0	0.33905604633217734	0.20493765887546192	0.0	0.17880794701986755	0.2894736842105263	0.472972972972973	0.96875
DCI	3513.0	0.013956019913767662	0.040219170870565715	0.0	0.0	0.0	0.007990867579908675	0.5263157894736842
GFL	3513.0	0.4508162001084407	0.22929522434355798	0.0	0.2777777777777778	0.4134615384615384	0.62	0.9865319865319864
Gil	3513.0	0.013163199990337188	0.033981527121275786	0.0	0.0	0.0	0.011389521640091115	0.4545454545454545
Hea	3513.0	0.01969863436931446	0.05327428694718908	0.0	0.0	0.0	0.01492537313432836	0.6818181818181818
Hep	3513.0	0.008006494468277323	0.029925745412333744	0.0	0.0	0.0	0.0	0.42857142857142855
Kid	3513.0	0.017548015444888255	0.04959552986277561	0.0	0.0	0.0	0.012048192771084338	0.6538461538461539
MDC	3513.0	0.013347017617173123	0.036165806246393366	0.0	0.0	0.0	0.011235955056179777	0.6153846153846154
MDI	3513.0	0.038803166491260546	0.07215780454503791	0.0	0.0	0.01	0.04395604395604396	0.5919395465994962
MVC	3513.0	0.013322302144145181	0.03980326552410138	0.0	0.0	0.0	0.008695652173913044	0.5540540540540541
MVI	3513.0	0.02287730136687379	0.05646830541674378	0.0	0.0	0.0	0.020408163265306117	0.5578947368421052
Man	3513.0	0.01249774347046517	0.04323054073092992	0.0	0.0	0.0	0.0	0.6363636363636364
OLe	3513.0	0.3636312119568023	0.22145900470361357	0.0	0.1891891891891892	0.3183856502242152	0.5178571428571429	0.9732620320855616
OLl	3513.0	0.3556182451404637	0.21714142451577137	0.0	0.18731117824773413	0.31272727272727274	0.5042735042735043	0.96
Ret	3513.0	0.08677490290469198	0.13975462793559312	0.0	0.006500541711809318	0.030303030303030307	0.09929078014184398	0.9616613418530352
SG	3513.0	0.32770384996033586	0.2067038422241498	0.0	0.17064846416382254	0.2777777777777778	0.4526748971193416	0.9705449189985272
Sub	3513.0	0.3828454746212847	0.20235988267969296	0.0	0.2303030303030303	0.3387096774193548	0.513677811550152	0.9666666666666668
Suc	3513.0	0.019304181172667512	0.04295378532310345	0.0	0.0	0.005617977528089888	0.019417475728155338	0.5668789808917197
Sup	3513.0	0.3464645992355094	0.2103429197809623	0.0	0.1875	0.3006134969325153	0.485981308411215	0.9583333333333334
Ten	3513.0	0.01629535367549969	0.04031925617134595	0.0	0.0	0.0	0.01524390243902439	0.6388888888888888
Tes	3513.0	0.014875819636193298	0.04607886012107058	0.0	0.0	0.0	0.008174386920980926	0.6428571428571429
VL	3513.0	0.2881829871870002	0.21178578285238345	0.0	0.12857142857142856	0.2268041237113402	0.4093959731543624	0.9558823529411764
