variable	count	mean	std	min	25%	50%	75%	max
ANC	1221.0	0.09784296466301577	0.08693082133152397	0.0	0.03875968992248062	0.075	0.13131313131313133	0.5714285714285714
BM	1221.0	0.009610455815746892	0.029600831560607888	0.0	0.0	0.0	0.004081632653061225	0.3636363636363637
BrL	1221.0	0.2705362765946562	0.1720918838722128	0.0	0.1368421052631579	0.23243243243243245	0.3663366336633663	0.9272727272727272
BuL	1221.0	0.2777037234476746	0.16919616766275955	0.0	0.1518987341772152	0.24113475177304966	0.3687943262411347	0.8411016949152542
DCI	1221.0	0.008059329919687714	0.028031331982464325	0.0	0.0	0.0	0.0022598870056497176	0.3181818181818182
GFL	1221.0	0.39492484329085087	0.19594009124005052	0.0	0.2676056338028169	0.3478260869565217	0.525	0.967741935483871
Gil	1221.0	0.0073630468015551285	0.022646900643004696	0.0	0.0	0.0	0.0045045045045045045	0.2762312633832976
Hea	1221.0	0.01027550110859776	0.031837968652950376	0.0	0.0	0.0	0.007438894792773645	0.40963855421686746
Hep	1221.0	0.003456353418284964	0.017543533305888957	0.0	0.0	0.0	0.0	0.3709677419354839
Kid	1221.0	0.009645129947867715	0.031899606564781836	0.0	0.0	0.0	0.007246376811594203	0.5
MDC	1221.0	0.007881187112034109	0.024778101684261353	0.0	0.0	0.0	0.00554016620498615	0.2765957446808511
MDI	1221.0	0.02478633731316997	0.05276821403311602	0.0	0.0	0.0	0.028571428571428567	0.5666666666666667
MVC	1221.0	0.008106354721196913	0.027269368457112666	0.0	0.0	0.0	0.002840909090909091	0.3725490196078432
MVI	1221.0	0.014227583227550366	0.04340946389328203	0.0	0.0	0.0	0.010752688172043013	0.6470588235294118
Man	1221.0	0.0065826716489703	0.030446123429264383	0.0	0.0	0.0	0.0	0.4166666666666667
OLe	1221.0	0.29767432185277914	0.19080210125891006	0.0	0.15384615384615385	0.2556818181818182	0.4108910891089109	0.9053254437869822
OLl	1221.0	0.2863153963292023	0.18568511354777842	0.0	0.14563106796116504	0.2426470588235294	0.3958333333333333	0.8928571428571429
Ret	1221.0	0.05263293823949936	0.09127830746367503	0.0	0.0	0.018691588785046728	0.05882352941176471	0.7936507936507936
SG	1221.0	0.27028129565028736	0.1663180762377444	0.0	0.15151515151515152	0.2333333333333333	0.35714285714285715	0.9
Sub	1221.0	0.3246669064723828	0.16456054693226874	0.012578616352201259	0.2075471698113208	0.28308823529411764	0.4227373068432671	0.8529411764705882
Suc	1221.0	0.011685443110772142	0.02730832456509072	0.0	0.0	0.0	0.012422360248447204	0.2850678733031674
Sup	1221.0	0.28624485709699665	0.18171574811652436	0.0	0.1513157894736842	0.24615384615384614	0.3867924528301887	0.8934426229508197
Ten	1221.0	0.009144419035807755	0.02335162111242303	0.0	0.0	0.0	0.00964630225080386	0.2832764505119454
Tes	1221.0	0.008488428845894042	0.0303204751012151	0.0	0.0	0.0	0.004106776180698152	0.5
VL	1221.0	0.22375878118116393	0.16874937419223313	0.0	0.10217391304347828	0.17647058823529413	0.3076923076923077	0.8904109589041096
