PFAM	B62Score	count	mean	std	min	25%	50%	75%	max
In PFAM	-2.0	214.0	0.37132992152135613	0.20015968834227438	0.050322580645161284	0.21567498506670207	0.3181297806382047	0.5171157285562648	0.8537970191625266
In PFAM	-1.0	10.0	0.3164402000636768	0.11881853920566794	0.08303886925795052	0.28659224116795645	0.34200467578862015	0.4073386881578935	0.4332281808622503
In PFAM	0.0	223.0	0.3752792576629228	0.20223119227296302	0.06764027671022291	0.2084548965272539	0.3083627797408716	0.5182798428054161	0.9375757575757576
In PFAM	1.0	383.0	0.34156785162963876	0.19573025257241944	0.05750667488190594	0.18625879264177134	0.28312412831241285	0.448455953214694	0.9186418962203716
In PFAM	2.0	337.0	0.3612185695363751	0.19697287621412593	0.05761316872427984	0.1988776348206953	0.30451127819548873	0.5048611111111111	0.9366138448707256
In PFAM	3.0	131.0	0.3598521512201315	0.1916959036982037	0.0992248062015504	0.21348199071625829	0.2813487881981033	0.47741213715513325	0.8616155291170946
Not In PFAM	-5.0	6.0	0.3008768131747998	0.23859250473514834	0.12224448897795592	0.15866893877403987	0.248137408221898	0.2792698141703329	0.7682481751824818
Not In PFAM	-2.0	343.0	0.37752375488263773	0.20438159412658763	0.06278434940855324	0.21248620352853514	0.32705296836118025	0.5122047688366791	0.949238578680203
Not In PFAM	-1.0	34.0	0.3529739301845023	0.21987332217585556	0.08231797919762257	0.19722253552898716	0.279216300862949	0.4663467639593909	0.914640117512649
Not In PFAM	0.0	521.0	0.3564459485020501	0.18876312996501804	0.05802249851983422	0.20608763086467624	0.3110539845758355	0.4915966386554622	0.9186002282236592
Not In PFAM	1.0	740.0	0.34419684774024556	0.19256910751550632	0.05242334322453017	0.19232854997497079	0.2937580900330793	0.46897804870900617	0.9237237237237236
Not In PFAM	2.0	456.0	0.35931636431355346	0.1932231386589632	0.055276381909547735	0.2090251020970983	0.3094188776188156	0.46755949241698125	0.9033099624979618
Not In PFAM	3.0	115.0	0.3653497735327152	0.1986211342790912	0.05795314426633785	0.2035792034831605	0.3079173166926677	0.4897000530603327	0.8931591083781706
