EditFreq	WN_ef	WN_log	WNN_ef	WNN_log	Cum_WN_ef	Cum_WNN_ef
0	1999	3.300812794118117	6294	3.7989267385772014	0.26103421258814313	0.8218856098197963
1	1062	3.0261245167454502	299	2.4756711883244296	0.3997127187255158	0.8609297466701489
2	653	2.814913181275074	146	2.164352855784437	0.48498302428832596	0.8799947767041003
3	524	2.7193312869837265	101	2.0043213737826426	0.5534082005745625	0.893183598850875
4	371	2.569373909615046	61	1.7853298350107671	0.6018542700443981	0.9011491250979368
5	259	2.413299764081252	60	1.7781512503836436	0.6356751109950378	0.9089840689475058
6	240	2.380211241711606	53	1.724275869600789	0.6670148863933142	0.9159049360146252
7	216	2.3344537511509307	60	1.7781512503836436	0.6952206842517629	0.9237398798641943
8	187	2.271841606536499	40	1.6020599913279623	0.7196395925829199	0.9289631757639071
9	136	2.1335389083702174	32	1.505149978319906	0.737398798641943	0.9331418124836772
10	151	2.1789769472931693	36	1.5563025007672873	0.7571167406633585	0.9378427787934186
11	144	2.1583624920952498	20	1.3010299956639813	0.7759206059023244	0.940454426743275
12	125	2.0969100130080562	26	1.414973347970818	0.7922434055889266	0.9438495690780883
13	101	2.0043213737826426	20	1.3010299956639813	0.8054322277357012	0.9464612170279446
14	85	1.9294189257142926	19	1.2787536009528289	0.8165317315225907	0.9489422825803082
15	88	1.9444826721501687	16	1.2041199826559248	0.8280229825019587	0.9510316009401932
16	79	1.8976270912904414	30	1.4771212547196624	0.8383389919038914	0.9549490728649778
17	82	1.9138138523837167	7	0.8450980400142568	0.8490467484983024	0.9558631496474276
18	71	1.8512583487190752	10	1.0	0.8583180987202925	0.9571689736223558
19	53	1.724275869600789	10	1.0	0.8652389657874119	0.9584747975972839
20	56	1.7481880270062005	25	1.3979400086720377	0.8725515800470096	0.9617393575346044
21	44	1.6434526764861874	9	0.9542425094393249	0.8782972055366937	0.9629145991120397
22	48	1.6812412373755872	5	0.6989700043360189	0.8845651606163489	0.9635675110995038
23	40	1.6020599913279623	8	0.9030899869919435	0.8897884565160616	0.9646121702794463
24	37	1.568201724066995	7	0.8450980400142568	0.8946200052232959	0.965526247061896
25	60	1.7781512503836436	22	1.3424226808222062	0.9024549490728649	0.968399059806738
26	64	1.806179973983887	7	0.8450980400142568	0.9108122225124053	0.9693131365891878
27	44	1.6434526764861874	3	0.47712125471966244	0.9165578480020893	0.9697048837816662
28	37	1.568201724066995	5	0.6989700043360189	0.9213893967093236	0.9703577957691303
29	24	1.380211241711606	9	0.9542425094393249	0.9245233742491512	0.9715330373465657
30	21	1.3222192947339193	8	0.9030899869919435	0.9272656045965004	0.9725776965265083
31	20	1.3010299956639813	3	0.47712125471966244	0.9298772525463568	0.9729694437189866
32	27	1.4313637641589874	5	0.6989700043360189	0.9334029772786628	0.9736223557064507
33	25	1.3979400086720377	10	1.0	0.9366675372159833	0.9749281796813789
34	28	1.4471580313422192	4	0.6020599913279624	0.9403238443457822	0.9754505092713502
35	22	1.3424226808222062	6	0.7781512503836436	0.9431966570906242	0.9762340036563071
36	20	1.3010299956639813	3	0.47712125471966244	0.9458083050404805	0.9766257508487856
37	18	1.255272505103306	9	0.9542425094393249	0.9481587881953513	0.977800992426221
38	18	1.255272505103306	5	0.6989700043360189	0.950509271350222	0.9784539044136851
39	20	1.3010299956639813	2	0.3010299956639812	0.9531209193000784	0.9787150692086707
40	25	1.3979400086720377	5	0.6989700043360189	0.9563854792373988	0.9793679811961348
41	18	1.255272505103306	2	0.3010299956639812	0.9587359623922695	0.9796291459911204
42	12	1.0791812460476249	4	0.6020599913279624	0.9603029511621833	0.9801514755810916
43	17	1.2304489213782739	3	0.47712125471966244	0.9625228519195612	0.9805432227735701
44	14	1.146128035678238	1	0.0	0.9643510054844607	0.980673805171063
45	9	0.9542425094393249	2	0.3010299956639812	0.965526247061896	0.9809349699660486
46	15	1.1760912590556813	2	0.3010299956639812	0.9674849830242883	0.9811961347610342
47	5	0.6989700043360189	4	0.6020599913279624	0.9681378950117524	0.9817184643510055
48	8	0.9030899869919435	1	0.0	0.969182554191695	0.9818490467484983
49	7	0.8450980400142568	2	0.3010299956639812	0.9700966309741447	0.982110211543484
50	22	1.3424226808222062	14	1.146128035678238	0.9729694437189866	0.9839383651083834
51	12	1.0791812460476249	2	0.3010299956639812	0.9745364324889005	0.984199529903369
52	6	0.7781512503836436	5	0.6989700043360189	0.9753199268738574	0.9848524418908331
53	13	1.1139433523068367	1	0.0	0.977017498041264	0.984983024288326
54	9	0.9542425094393249	8	0.9030899869919435	0.9781927396186993	0.9860276834682685
55	10	1.0	1	0.0	0.9794985635936275	0.9861582658657613
56	7	0.8450980400142568	2	0.3010299956639812	0.9804126403760773	0.9864194306607469
57	17	1.2304489213782739	3	0.47712125471966244	0.9826325411334552	0.9868111778532254
58	15	1.1760912590556813	1	0.0	0.9845912770958475	0.9869417602507182
60	9	0.9542425094393249	3	0.47712125471966244	0.9857665186732828	0.9873335074431967
61	5	0.6989700043360189	1	0.0	0.9864194306607469	0.9874640898406895
62	5	0.6989700043360189	1	0.0	0.987072342648211	0.9875946722381823
63	7	0.8450980400142568	2	0.3010299956639812	0.9879864194306608	0.9878558370331679
64	5	0.6989700043360189	1	0.0	0.9886393314181249	0.9879864194306608
66	11	1.0413926851582251	3	0.47712125471966244	0.9900757377905458	0.9883781666231392
67	3	0.47712125471966244	1	0.0	0.9904674849830243	0.988508749020632
69	7	0.8450980400142568	1	0.0	0.991381561765474	0.9886393314181249
70	7	0.8450980400142568	1	0.0	0.9922956385479237	0.9887699138156176
72	6	0.7781512503836436	1	0.0	0.9930791329328806	0.9889004962131105
73	5	0.6989700043360189	2	0.3010299956639812	0.9937320449203447	0.9891616610080961
74	3	0.47712125471966244	2	0.3010299956639812	0.9941237921128232	0.9894228258030817
75	5	0.6989700043360189	3	0.47712125471966244	0.9947767041002873	0.9898145729955602
78	3	0.47712125471966244	1	0.0	0.9951684512927658	0.9899451553930531
80	8	0.9030899869919435	2	0.3010299956639812	0.9962131104727083	0.9902063201880387
81	3	0.47712125471966244	1	0.0	0.9966048576651867	0.9903369025855314
83	1	0.0	2	0.3010299956639812	0.9967354400626796	0.9905980673805171
85	3	0.47712125471966244	1	0.0	0.997127187255158	0.9907286497780099
87	2	0.3010299956639812	1	0.0	0.9973883520501436	0.9908592321755028
91	2	0.3010299956639812	1	0.0	0.9976495168451293	0.9909898145729955
92	2	0.3010299956639812	1	0.0	0.9979106816401149	0.9911203969704884
93	2	0.3010299956639812	1	0.0	0.9981718464351006	0.9912509793679812
100	14	1.146128035678238	18	1.255272505103306	1.0	0.993601462522852
