EditFreq	WN_ef	WN_log	WNN_ef	WNN_log	Cum_WN_ef	Cum_WNN_ef
0	5482	3.7389390312034796	17633	4.24632620751237	0.17198970948108175	0.5532095124552927
1	2610	3.416640507338281	1483	3.1711411510283822	0.25387463136098387	0.5997364623203866
2	1963	3.292920299600006	1019	3.0081741840064264	0.3154608772039907	0.6317060927401644
3	1606	3.205745540942662	731	2.8639173769578603	0.3658467716634247	0.6546401455731945
4	1328	3.1231980750319988	672	2.8273692730538253	0.40751082386898413	0.6757231599422727
5	1205	3.080987046910887	610	2.785329835010767	0.4453159314802033	0.6948610152475372
6	1037	3.015778756389041	493	2.69284691927723	0.4778502854991529	0.7103281671581854
7	955	2.9800033715837464	433	2.6364878963533656	0.5078120097885424	0.7239129070715944
8	871	2.9400181550076634	411	2.6138418218760693	0.535138357281797	0.7368074292526824
9	791	2.8981764834976764	332	2.5211380837040362	0.5599548221120663	0.7472234423040723
10	834	2.921166050637739	374	2.5728716022004803	0.5861203488736901	0.7589571437535295
11	711	2.851869600729766	329	2.5171958979499744	0.6084269310409738	0.7692790362050574
12	709	2.8506462351830666	311	2.4927603890268375	0.6306707661416828	0.7790362050574136
13	561	2.7489628612561616	232	2.3654879848909	0.6482713183158687	0.7863148647800715
14	551	2.741151598851785	274	2.437750562820388	0.6655581351571814	0.7949112129007969
15	501	2.699837725867246	213	2.3283796034387376	0.6812762753341282	0.8015937754909958
16	494	2.693726948923647	274	2.437750562820388	0.6967748007780636	0.8101901236117212
17	431	2.6344772701607315	175	2.2430380486862944	0.7102967936248981	0.815680491937002
18	425	2.6283889300503116	190	2.278753600952829	0.7236305452720085	0.8216414632615925
19	335	2.525044807036845	145	2.161368002234975	0.7341406789232603	0.8261906255882537
20	426	2.629409599102719	240	2.380211241711606	0.7475058041036582	0.8337202735772102
21	330	2.5185139398778875	139	2.143014800254095	0.7578590700884734	0.8380811947041475
22	336	2.526339277389844	147	2.167317334748176	0.7684005772730125	0.8426931040973834
23	302	2.4800069429571505	121	2.0827853703164503	0.7778753843257827	0.846489301625149
24	211	2.3242824552976926	106	2.0253058652647704	0.7844951998494071	0.8498148961536048
