EditFreq	WN_ef	WN_log	WNN_ef	WNN_log	Cum_WN_ef	Cum_WNN_ef
0	31174	4.4937925310696665	70620	4.848927713227078	0.4058374775431562	0.9193636576665712
1	10586	4.024731889655249	2006	3.302330928684399	0.5436508969719062	0.945478688780691
2	5656	3.752509400788843	939	2.972665592266111	0.6172833077303617	0.957703022886453
3	3719	3.570426178358973	551	2.741151598851785	0.6656989611268779	0.9648761944437212
4	2658	3.4245549766067134	382	2.582063362911709	0.7003020282760956	0.9698492462311558
5	2097	3.3215984304653436	281	2.44870631990508	0.7276017392662796	0.9735074335407607
6	1688	3.2273724422896364	207	2.315970345456918	0.7495769000442628	0.9762022547973026
7	1379	3.13956426617585	189	2.2764618041732443	0.7675293566276981	0.9786627437706668
8	1156	3.0629578340845103	123	2.089905111439398	0.7825786965917672	0.9802640143723801
9	943	2.9745116927373285	110	2.041392685158225	0.7948551045382353	0.9816960449917984
10	883	2.9459607035775686	125	2.0969100130080562	0.8063504048741115	0.9833233525138647
11	763	2.8825245379548803	98	1.9912260756924949	0.8162834899888042	0.9845991616111647
12	726	2.8609366207000937	99	1.99563519459755	0.8257348920769652	0.9858879891686412
13	668	2.824776462475546	54	1.7323937598229686	0.8344312234748874	0.9865909860181737
14	529	2.7234556720351857	50	1.6989700043360187	0.8413179889082719	0.9872419090270003
15	562	2.749736315569061	51	1.7075701760979363	0.848634363527482	0.9879058504960033
16	465	2.667452952889954	57	1.7558748556724915	0.8546879475095686	0.9886479027260655
17	465	2.667452952889954	35	1.5440680443502757	0.8607415314916552	0.9891035488322442
18	441	2.6444385894678386	46	1.662757831681574	0.866482672429505	0.9897023980003645
19	356	2.5514499979728753	34	1.5314789170422551	0.8711172442523498	0.9901450256463665
20	417	2.6201360549737576	63	1.7993405494535817	0.8765459421459629	0.990965188637488
21	340	2.531478917042255	39	1.591064607026499	0.8809722186059833	0.9914729085843726
22	347	2.5403294747908736	36	1.5563025007672873	0.8854896242872393	0.9919415731507277
23	292	2.4653828514484184	18	1.255272505103306	0.8892910146587861	0.9921759054339053
24	290	2.462397997898956	11	1.0413926851582251	0.89306636810998	0.9923191084958471
25	327	2.514547752660286	38	1.5797835966168101	0.8973234045877053	0.9928138099825553
26	283	2.45178643552429	19	1.2787536009528289	0.9010076288176635	0.9930611607259093
27	245	2.3891660843645326	15	1.1760912590556813	0.9041971515609134	0.9932564376285573
28	278	2.444044795918076	31	1.4913616938342726	0.9078162834899888	0.9936600098940297
29	220	2.342422680822206	10	1.0	0.9106803447288254	0.9937901944957951
30	243	2.385606273598312	17	1.2304489213782739	0.9138438305517224	0.994011508318796
31	223	2.3483048630481607	19	1.2787536009528289	0.9167469471710886	0.9942588590621502
32	221	2.3443922736851106	16	1.2041199826559248	0.9196240268701018	0.9944671544249746
33	198	2.296665190261531	37	1.568201724066995	0.9222016819850548	0.9949488374515062
34	191	2.2810333672477277	13	1.1139433523068367	0.9246882078787722	0.9951180774338011
35	198	2.296665190261531	7	0.8450980400142568	0.9272658629937252	0.9952092066550369
36	205	2.311753861055754	11	1.0413926851582251	0.9299346473299138	0.9953524097169787
37	170	2.230448921378274	10	1.0	0.932147785559924	0.995482594318744
38	195	2.290034611362518	10	1.0	0.9346863852943473	0.9956127789205093
39	168	2.225309281725863	12	1.0791812460476249	0.9368734866040045	0.9957690004426276
40	167	2.2227164711475833	12	1.0791812460476249	0.939047569453485	0.995925221964746
41	153	2.184691430817599	9	0.9542425094393249	0.9410393938604942	0.9960423881063348
42	164	2.214843848047698	11	1.0413926851582251	0.9431744213294452	0.9961855911682767
43	142	2.1522883443830563	8	0.9030899869919435	0.9450230426745124	0.9962897388496889
44	163	2.2121876044039577	9	0.9542425094393249	0.9471450516832869	0.9964069049912776
45	129	2.110589710299249	14	1.146128035678238	0.9488244330460593	0.996589163433749
46	167	2.2227164711475833	7	0.8450980400142568	0.9509985158955399	0.9966802926549848
47	146	2.164352855784437	7	0.8450980400142568	0.9528992110813133	0.9967714218762205
48	132	2.12057393120585	4	0.6020599913279624	0.9546176478246153	0.9968234957169266
49	109	2.037426497940624	4	0.6020599913279624	0.9560366599838571	0.9968755695576327
50	159	2.2013971243204513	39	1.591064607026499	0.9581065951519254	0.9973832895045174
51	109	2.037426497940624	5	0.6989700043360189	0.9595256073111672	0.9974483818054001
52	115	2.060697840353612	3	0.47712125471966244	0.9610227302314682	0.9974874371859297
53	118	2.0718820073061255	3	0.47712125471966244	0.9625589085322988	0.9975264925664592
54	150	2.1760912590556813	5	0.6989700043360189	0.9645116775587783	0.9975915848673419
55	107	2.0293837776852097	6	0.7781512503836436	0.9659046527976671	0.997669695628401
56	135	2.130333768495006	4	0.6020599913279624	0.9676621449214987	0.9977217694691072
57	138	2.1398790864012365	3	0.47712125471966244	0.9694586924258599	0.9977608248496368
58	120	2.0791812460476247	6	0.7781512503836436	0.9710209076470435	0.9978389356106959
59	108	2.03342375548695	3	0.47712125471966244	0.9724269013461088	0.9978779909912255
60	124	2.093421685162235	4	0.6020599913279624	0.9740411904079985	0.9979300648319317
61	112	2.0492180226701815	2	0.3010299956639812	0.9754992579477699	0.9979561017522848
62	99	1.99563519459755	5	0.6989700043360189	0.9767880855052464	0.9980211940531674
63	95	1.9777236052888478	5	0.6989700043360189	0.9780248392220168	0.9980862863540501
64	85	1.9294189257142926	4	0.6020599913279624	0.979131408337022	0.9981383601947562
65	99	1.99563519459755	2	0.3010299956639812	0.9804202358944984	0.9981643971151092
66	101	2.0043213737826426	9	0.9542425094393249	0.9817351003723279	0.998281563256698
67	73	1.863322860120456	3	0.47712125471966244	0.9826854479652146	0.9983206186372275
68	91	1.9590413923210936	5	0.6989700043360189	0.9838701278412789	0.9983857109381102
69	77	1.8864907251724818	3	0.47712125471966244	0.9848725492748718	0.9984247663186399
71	84	1.9242792860618816	9	0.9542425094393249	0.9859660999297003	0.9985419324602286
72	76	1.8808135922807914	3	0.47712125471966244	0.9869555029031166	0.9985809878407582
73	63	1.7993405494535817	3	0.47712125471966244	0.987775665894238	0.9986200432212878
74	78	1.8920946026904804	1	0.0	0.9887911057880074	0.9986330616814643
75	81	1.9084850188786497	5	0.6989700043360189	0.9898456010623063	0.998698153982347
76	61	1.7853298350107671	2	0.3010299956639812	0.9906397271330747	0.9987241909027
77	65	1.8129133566428555	1	0.0	0.9914859270445492	0.9987372093628766
78	65	1.8129133566428555	3	0.47712125471966244	0.9923321269560237	0.9987762647434062
80	53	1.724275869600789	1	0.0	0.9930221053453797	0.9987892832035827
81	49	1.6901960800285136	1	0.0	0.9936600098940297	0.9988023016637592
82	54	1.7323937598229686	1	0.0	0.9943630067435624	0.9988153201239357
83	42	1.6232492903979006	2	0.3010299956639812	0.9949097820709767	0.9988413570442888
84	42	1.6232492903979006	3	0.47712125471966244	0.9954565573983909	0.9988804124248184
85	53	1.724275869600789	1	0.0	0.996146535787747	0.9988934308849949
86	34	1.5314789170422551	4	0.6020599913279624	0.996589163433749	0.9989455047257011
87	36	1.5563025007672873	4	0.6020599913279624	0.9970578280001041	0.9989975785664071
88	38	1.5797835966168101	4	0.6020599913279624	0.9975525294868123	0.9990496524071133
89	23	1.3617278360175928	1	0.0	0.9978519540708725	0.9990626708672898
90	28	1.4471580313422192	4	0.6020599913279624	0.9982164709558153	0.9991147447079959
