EditFreq	WN_ef	WN_log	WNN_ef	WNN_log	Cum_WN_ef	Cum_WNN_ef
0	156	2.1931245983544616	336	2.526339277389844	0.3851851851851852	0.8296296296296296
1	54	1.7323937598229686	18	1.255272505103306	0.5185185185185185	0.8740740740740741
2	27	1.4313637641589874	9	0.9542425094393249	0.5851851851851851	0.8962962962962963
3	23	1.3617278360175928	8	0.9030899869919435	0.6419753086419753	0.9160493827160494
4	21	1.3222192947339193	8	0.9030899869919435	0.6938271604938272	0.9358024691358025
5	15	1.1760912590556813	3	0.47712125471966244	0.7308641975308642	0.9432098765432099
6	14	1.146128035678238	6	0.7781512503836436	0.7654320987654321	0.9580246913580247
7	8	0.9030899869919435	3	0.47712125471966244	0.7851851851851852	0.9654320987654321
8	11	1.0413926851582251	4	0.6020599913279624	0.8123456790123457	0.9753086419753086
9	4	0.6020599913279624	2	0.3010299956639812	0.8222222222222222	0.980246913580247
10	10	1.0	1	0.0	0.8469135802469135	0.9827160493827161
11	7	0.8450980400142568	3	0.47712125471966244	0.8641975308641975	0.9901234567901235
12	7	0.8450980400142568	3	0.47712125471966244	0.8814814814814815	0.9975308641975309
13	3	0.47712125471966244	2	0.3010299956639812	0.8888888888888888	1.002469135802469
14	4	0.6020599913279624	1	0.0	0.8987654320987655	1.0049382716049382
15	7	0.8450980400142568	2	0.3010299956639812	0.9160493827160494	1.0098765432098766
16	4	0.6020599913279624	3	0.47712125471966244	0.9259259259259259	1.017283950617284
17	2	0.3010299956639812	2	0.3010299956639812	0.9308641975308642	1.0222222222222221
19	3	0.47712125471966244	1	0.0	0.9382716049382716	1.0246913580246915
20	1	0.0	1	0.0	0.9407407407407408	1.0271604938271606
22	2	0.3010299956639812	1	0.0	0.945679012345679	1.0296296296296297
23	2	0.3010299956639812	2	0.3010299956639812	0.9506172839506173	1.0345679012345679
24	1	0.0	1	0.0	0.9530864197530864	1.037037037037037
25	1	0.0	4	0.6020599913279624	0.9555555555555556	1.0469135802469136
30	2	0.3010299956639812	1	0.0	0.9604938271604938	1.0493827160493827
32	3	0.47712125471966244	1	0.0	0.9679012345679012	1.0518518518518518
50	1	0.0	1	0.0	0.9703703703703703	1.054320987654321
56	1	0.0	1	0.0	0.9728395061728395	1.05679012345679
80	1	0.0	1	0.0	0.9753086419753086	1.0592592592592593
98	2	0.3010299956639812	2	0.3010299956639812	0.980246913580247	1.0641975308641975
99	1	0.0	1	0.0	0.9827160493827161	1.0666666666666667
100	7	0.8450980400142568	2	0.3010299956639812	1.0	1.0716049382716049
