WeightedAverage	Effect_type	count	mean	std	min	25%	50%	75%	max
WN_ef	Rec	100.0	770.01	3324.91180560485	6.0	71.0	136.5	290.5	31174.0
WNN_ef	Rec	97.0	791.7525773195877	7167.62558463245	1.0	3.0	8.0	36.0	70620.0
WN_ef	Syn	97.0	425.6701030927835	1946.0104365601512	1.0	14.0	33.0	127.0	17815.0
WNN_ef	Syn	77.0	535.5844155844156	4452.53226694372	1.0	2.0	5.0	18.0	39091.0
WN_ef	3'	101.0	540.3663366336634	1763.8518289401309	18.0	40.0	97.0	269.0	15574.0
WNN_ef	3'	101.0	539.6930693069307	3429.561950869452	11.0	26.0	45.0	128.0	34297.0
WN_ef	5'	97.0	79.6082474226804	243.86939625806158	1.0	5.0	14.0	44.0	1999.0
WNN_ef	5'	84.0	90.60714285714286	686.0860885575659	1.0	1.75	4.0	11.0	6294.0
WN_ef	Intron	101.0	315.58415841584156	669.0540825273654	7.0	40.0	88.0	302.0	5482.0
WNN_ef	Intron	101.0	306.4752475247525	1754.7719258870052	12.0	24.0	49.0	145.0	17633.0
WN_ef	SJ	59.0	7.47457627118644	21.46155820113737	1.0	1.0	2.0	4.0	156.0
WNN_ef	SJ	38.0	11.578947368421053	54.15025720731875	1.0	1.0	2.0	3.0	336.0
