round	*>W	D>G	E>G	H>R	I>M	I>V	K>E	K>R	M>V	N>D	N>S	Q>R	R>G	S>G	T>A	Y>C
0	3.0	26.0	88.0	10.0	14.0	44.0	77.0	67.0	19.0	43.0	44.0	32.0	43.0	40.0	45.0	29.0
0-10	89.0	1093.0	3260.0	815.0	1703.0	4283.0	4917.0	12141.0	2086.0	4004.0	5016.0	3337.0	3499.0	5697.0	4753.0	3791.0
10-20	9.0	65.0	181.0	86.0	200.0	394.0	436.0	1247.0	201.0	422.0	464.0	346.0	334.0	641.0	444.0	385.0
20-30	9.0	23.0	82.0	39.0	86.0	217.0	190.0	640.0	89.0	214.0	248.0	199.0	172.0	397.0	211.0	195.0
30-40	2.0	19.0	63.0	28.0	85.0	127.0	142.0	432.0	71.0	140.0	160.0	126.0	127.0	223.0	155.0	127.0
40-50	1.0	21.0	46.0	23.0	48.0	125.0	94.0	315.0	48.0	91.0	96.0	115.0	110.0	178.0	100.0	81.0
50-60	0.0	12.0	43.0	14.0	37.0	96.0	69.0	241.0	40.0	75.0	88.0	74.0	94.0	165.0	98.0	72.0
60-70	1.0	10.0	31.0	20.0	39.0	81.0	43.0	211.0	31.0	49.0	57.0	58.0	61.0	124.0	85.0	48.0
70-80	1.0	8.0	27.0	13.0	41.0	48.0	32.0	139.0	24.0	53.0	62.0	56.0	39.0	95.0	45.0	44.0
80-90	1.0	3.0	8.0	7.0	18.0	50.0	22.0	105.0	11.0	34.0	22.0	23.0	35.0	36.0	25.0	14.0
90-100	1.0	2.0	10.0	6.0	7.0	25.0	8.0	31.0	7.0	11.0	10.0	17.0	16.0	19.0	16.0	14.0
