round	-5.0	-2.0	-1.0	0.0	1.0	2.0	3.0
0	3.0	160.0	26.0	95.0	229.0	67.0	44.0
0-10	89.0	10550.0	1094.0	11265.0	21062.0	12141.0	4283.0
10-20	9.0	900.0	65.0	1171.0	2069.0	1247.0	394.0
20-30	9.0	449.0	24.0	647.0	1025.0	640.0	217.0
30-40	2.0	317.0	19.0	406.0	724.0	432.0	127.0
40-50	1.0	237.0	21.0	301.0	492.0	315.0	125.0
50-60	0.0	209.0	12.0	277.0	383.0	241.0	96.0
60-70	1.0	140.0	10.0	229.0	277.0	211.0	81.0
70-80	1.0	110.0	8.0	153.0	268.0	139.0	48.0
80-90	1.0	57.0	3.0	68.0	130.0	105.0	50.0
90-100	1.0	40.0	2.0	41.0	60.0	31.0	25.0
