	index	Albertin	Alon	HUGO	transcriptName
0	Dopeav2030876m	575.0	385.0	SPTAN1	Dopeav2030876m
1	Dopeav2058542m	527.0	482.0	DOPEY1	Dopeav2058542m
2	Dopeav2135407m	495.0	311.0	TDRKH	Dopeav2135407m
3	Dopeav2031750m	446.0	378.0	UBR4	Dopeav2031750m
4	Dopeav2062626m	445.0	279.0	ANK2	Dopeav2062626m
5	Dopeav2064360m	423.0	429.0	HUWE1	Dopeav2064360m
6	Dopeav2062639m	399.0	287.0		Dopeav2062639m
7	Dopeav2134107m	355.0	235.0	ANKRD17	Dopeav2134107m
8	Dopeav2097608m	330.0	282.0	HERC1	Dopeav2097608m
9	Dopeav2079922m	328.0	247.0	MYO6	Dopeav2079922m
10	Dopeav2023418m	321.0	254.0	MACF1	Dopeav2023418m
11	Dopeav2116176m	316.0	190.0	SPTBN1	Dopeav2116176m
12	Dopeav2128364m	315.0	157.0	CHD3	Dopeav2128364m
13	Dopeav2062638m	272.0	194.0		Dopeav2062638m
14	Dopeav2101376m	249.0	166.0	BIRC6	Dopeav2101376m
15	Dopeav2038141m	226.0	140.0	SCN4A	Dopeav2038141m
16	Dopeav2042344m	226.0	159.0	PTPRD	Dopeav2042344m
17	Dopeav2037686m	224.0	115.0	KMT2A	Dopeav2037686m
18	Dopeav2108578m	217.0	179.0	MYCBP2	Dopeav2108578m
19	Dopeav2083898m	213.0	140.0	MYH10	Dopeav2083898m
20	Dopeav2031736m	196.0	152.0	CLEC16A	Dopeav2031736m
21	Dopeav2103682m	193.0	131.0	CLTC	Dopeav2103682m
22	Dopeav2106164m	193.0	156.0	EPRS	Dopeav2106164m
23	Dopeav2115497m	191.0	176.0		Dopeav2115497m
24	Dopeav2122889m	190.0	148.0	FAM213A	Dopeav2122889m
25	Dopeav2069351m	185.0	151.0	USP9X	Dopeav2069351m
26	Dopeav2049910m	184.0	188.0	MAP1A	Dopeav2049910m
27	Dopeav2129407m	182.0	107.0		Dopeav2129407m
28	Dopeav2005016m	181.0	120.0	RNF10	Dopeav2005016m
29	Dopeav2099994m	177.0	126.0	FASN	Dopeav2099994m
30	Dopeav2130895m	175.0	158.0	HECTD1	Dopeav2130895m
