	ID	Edit_type	Effect	WN_ef	WNN_ef	WN_dp	WNN_dp
10	Dpe01:317893	Neural	Syn	0.3176470588235294	0.02083333333333333	85	144
12	Dpe01:1160264	Neural	3'	0.7165109034267912	0.10932475884244372	321	311
13	Dpe01:1160304	Neural	3'	0.08016877637130802	0.02803738317757009	237	214
23	Dpe01:1161059	Ubiq-Low	3'	0.03225806451612903	0.010273972602739724	341	292
24	Dpe01:1161063	Neural	3'	0.06515580736543909	0.013071895424836602	353	306
25	Dpe01:1161064	Neural	3'	0.14	0.04262295081967213	350	305
26	Dpe01:1161175	Ubiq-Low	3'	0.03285543608124253	0.01410039481105471	1674	1773
58	Dpe01:1401169	Neural	Rec	0.31724137931034485	0.07556270096463022	580	622
59	Dpe01:1401170	Neural	Rec	0.3526315789473684	0.09538950715421304	570	629
64	Dpe01:1401326	Neural	Rec	0.4663951120162933	0.024844720496894408	491	483
131	Dpe01:1751385	Neural	3'	0.22962962962962966	0.022727272727272728	270	176
132	Dpe01:1751390	Neural	3'	0.2556390977443609	0.042168674698795185	266	166
133	Dpe01:1751394	Neural	3'	0.5923076923076923	0.02824858757062147	260	177
134	Dpe01:1751396	Neural	3'	0.2014388489208633	0.0111731843575419	278	179
136	Dpe01:1751441	Ubiq-High	3'	0.9262295081967212	0.5918367346938775	244	147
138	Dpe01:1751449	Neural	3'	0.19583333333333333	0.03448275862068965	240	145
140	Dpe01:1751452	Ubiq-Low	3'	0.0211864406779661	0.029411764705882356	236	136
141	Dpe01:1751453	Ubiq-Med	3'	0.013215859030837005	0.08270676691729323	227	133
142	Dpe01:1751499	Ubiq-Med	3'	0.04	0.08064516129032258	125	62
143	Dpe01:1751644	Neural	3'	0.3333333333333333	0.08695652173913042	45	23
170	Dpe01:9660795	Ubiq-Med	3'	0.056880733944954125	0.2318840579710145	545	207
176	Dpe01:13271014	Neural	Rec	0.29239766081871343	0.029869321717486	513	1607
178	Dpe01:13298720	Ubiq-Low	Syn	0.04666666666666667	0.01664611590628853	450	1622
180	Dpe01:13304154	Neural	3'	0.2571428571428571	0.0421455938697318	105	261
182	Dpe01:13327745	Neural	Rec	0.3276353276353277	0.011547344110854505	351	433
186	Dpe01:13333654	Neural	3'	0.15053763440860216	0.015503875968992246	93	129
188	Dpe01:13333829	Neural	3'	0.05263157894736842	0.016393442622950817	152	183
189	Dpe01:13333835	Neural	3'	0.5357142857142857	0.2797619047619048	140	168
190	Dpe01:13333836	Ubiq-Med	3'	0.21014492753623187	0.4329268292682927	138	164
191	Dpe01:13333838	Ubiq-Med	3'	0.053435114503816786	0.05	131	160
217	Dpe01:13540029	Neural	3'	0.12424242424242425	0.0248565965583174	330	523
219	Dpe01:13540042	Ubiq-Med	3'	0.037267080745341616	0.3163841807909605	322	531
224	Dpe01:13540121	Neural	3'	0.4042105263157895	0.015330188679245285	475	848
225	Dpe01:13540124	Neural	3'	0.7684210526315789	0.18660287081339716	475	836
231	Dpe01:13540159	Neural	3'	0.0888030888030888	0.036131774707757705	518	941
233	Dpe01:13540181	Ubiq-Med	3'	0.05387931034482758	0.06085918854415275	464	838
235	Dpe01:13540238	Ubiq-Med	3'	0.061433447098976114	0.06321839080459771	586	1044
236	Dpe01:13540265	Neural	3'	0.5067567567567568	0.025247971145175838	592	1109
238	Dpe01:13540274	Ubiq-Med	3'	0.04070796460176991	0.16470588235294115	565	1020
