	Effect	variable	value
0	Rec	WN_ef	0.16071428571428573
1	Rec	WN_ef	0.17603911980440098
2	Syn	WN_ef	0.19130434782608696
3	Rec	WN_ef	0.13343403826787512
4	Rec	WN_ef	0.15463917525773194
5	Rec	WN_ef	0.1308518802762855
6	Syn	WN_ef	0.14296407185628746
7	Syn	WN_ef	0.3297872340425532
8	Rec	WN_ef	0.5569383945239577
9	Rec	WN_ef	0.470971242539338
10	Rec	WN_ef	0.2612085769980507
11	Syn	WN_ef	0.11771300448430495
12	Rec	WN_ef	0.3586387434554974
13	Syn	WN_ef	0.1343204653622422
14	Syn	WN_ef	0.2120658135283364
15	Rec	WN_ef	0.2155025553662692
16	Rec	WN_ef	0.10904255319148937
17	Rec	WN_ef	0.1388888888888889
18	Rec	WN_ef	0.14614561027837258
19	Rec	WN_ef	0.1788434414668547
20	Rec	WN_ef	0.185337726523888
21	Syn	WN_ef	0.2439176543980037
22	Rec	WN_ef	0.31832161687170474
23	Rec	WN_ef	0.3168235775685632
24	Rec	WN_ef	0.1605839416058394
25	Rec	WN_ef	0.2419221209610605
26	Rec	WN_ef	0.1498344370860927
27	Syn	WN_ef	0.1178743961352657
28	Rec	WN_ef	0.3242258652094718
29	Rec	WN_ef	0.2823076923076923
30	Rec	WN_ef	0.1921397379912664
31	Syn	WN_ef	0.1460823373173971
32	Syn	WN_ef	0.19821605550049556
33	Rec	WN_ef	0.7468553459119497
34	Rec	WN_ef	0.7272163670179789
35	Rec	WN_ef	0.2668918918918919
36	Rec	WN_ef	0.39332096474953615
37	Syn	WN_ef	0.11183496199782844
38	Syn	WN_ef	0.10913705583756343
39	Rec	WN_ef	0.17376338602753694
40	Syn	WN_ef	0.3675564681724846
41	Rec	WN_ef	0.7888324873096447
42	Rec	WN_ef	0.8616155291170946
43	Rec	WN_ef	0.8474708171206226
44	Rec	WN_ef	0.7456964006259781
45	Rec	WN_ef	0.30605926581158777
46	Syn	WN_ef	0.12193732193732194
47	Rec	WN_ef	0.26655683690280063
48	Rec	WN_ef	0.7094688221709007
49	Rec	WN_ef	0.35054617676266137
50	Syn	WN_ef	0.12209589718240235
51	Rec	WN_ef	0.6334072431633407
52	Rec	WN_ef	0.355
53	Rec	WN_ef	0.30785123966942146
54	Rec	WN_ef	0.4811475409836066
55	Rec	WN_ef	0.2742248062015504
56	Rec	WN_ef	0.5313609467455621
57	Syn	WN_ef	0.5415964971370832
58	Rec	WN_ef	0.2847782258064516
59	Rec	WN_ef	0.2492004920049201
60	Rec	WN_ef	0.29899916597164305
61	Rec	WN_ef	0.28156054471843944
62	Rec	WN_ef	0.365003006614552
63	Rec	WN_ef	0.6123727486296007
64	Rec	WN_ef	0.5794757389849414
65	Rec	WN_ef	0.5402542372881356
66	Rec	WN_ef	0.25183113597016915
67	Rec	WN_ef	0.29794658435109383
68	Rec	WN_ef	0.1910430839002268
69	Rec	WN_ef	0.11763518966908798
70	Syn	WN_ef	0.2938816449348044
71	Rec	WN_ef	0.7632763276327633
72	Syn	WN_ef	0.23960661600357624
73	Rec	WN_ef	0.062162162162162166
74	Rec	WN_ef	0.19773095623987036
75	Syn	WN_ef	0.3143564356435644
76	Rec	WN_ef	0.5107692307692308
77	Rec	WN_ef	0.3367875647668393
78	Rec	WN_ef	0.06896551724137931
79	Syn	WN_ef	0.07297297297297298
80	Rec	WN_ef	0.2693032015065913
81	Rec	WN_ef	0.18618618618618615
82	Rec	WN_ef	0.5057851239669422
83	Rec	WN_ef	0.26949152542372884
84	Rec	WN_ef	0.6487106017191977
85	Rec	WN_ef	0.5327102803738317
86	Rec	WN_ef	0.6220173535791758
87	Rec	WN_ef	0.21133367139959436
88	Rec	WN_ef	0.13203463203463206
89	Rec	WN_ef	0.18434782608695646
90	Syn	WN_ef	0.252991452991453
91	Rec	WN_ef	0.3677966101694915
92	Syn	WN_ef	0.3526315789473684
93	Rec	WN_ef	0.23211446740858505
94	Syn	WN_ef	0.15754560530679934
95	Rec	WN_ef	0.1213389121338912
96	Rec	WN_ef	0.2690582959641256
97	Rec	WN_ef	0.3604410751206065
98	Syn	WN_ef	0.09991742361684558
99	Rec	WN_ef	0.7326283987915407
100	Rec	WN_ef	0.1303030303030303
101	Rec	WN_ef	0.19478260869565214
102	Rec	WN_ef	0.7544169611307421
103	Syn	WN_ef	0.2805907172995781
104	Rec	WN_ef	0.3883299798792757
105	Rec	WN_ef	0.19367588932806326
106	Rec	WN_ef	0.38461538461538464
107	Rec	WN_ef	0.27509727626459146
108	Rec	WN_ef	0.14795244385733158
109	Rec	WN_ef	0.2977099236641221
110	Syn	WN_ef	0.15898617511520738
111	Syn	WN_ef	0.20321637426900585
112	Rec	WN_ef	0.2295825771324864
113	Rec	WN_ef	0.33859223300970875
114	Syn	WN_ef	0.08780487804878047
115	Rec	WN_ef	0.3110706334750051
116	Rec	WN_ef	0.10765747221078634
117	Rec	WN_ef	0.31273062730627305
118	Rec	WN_ef	0.5350819672131147
119	Syn	WN_ef	0.2104305639781686
120	Rec	WN_ef	0.4057646564992304
121	Rec	WN_ef	0.40884615384615386
122	Rec	WN_ef	0.4537111576235711
123	Rec	WN_ef	0.3817455029980013
124	Rec	WN_ef	0.6726499763816722
125	Rec	WN_ef	0.28147438966012445
126	Rec	WN_ef	0.21038193711753533
127	Rec	WN_ef	0.13828977416899266
128	Rec	WN_ef	0.2555954683614258
129	Rec	WN_ef	0.2883187035786631
130	Syn	WN_ef	0.4462114125350795
131	Rec	WN_ef	0.24563758389261744
132	Rec	WN_ef	0.8240418118466899
133	Rec	WN_ef	0.3094289508632138
134	Rec	WN_ef	0.2620481927710843
135	Syn	WN_ef	0.2481089258698941
136	Rec	WN_ef	0.5349206349206349
137	Rec	WN_ef	0.5981012658227848
138	Rec	WN_ef	0.2597402597402597
139	Rec	WN_ef	0.09753593429158113
140	Rec	WN_ef	0.5935357492654261
141	Rec	WN_ef	0.6462035541195477
142	Rec	WN_ef	0.13315926892950392
143	Syn	WN_ef	0.14601769911504425
144	Rec	WN_ef	0.4097421203438396
