	PFAM	variable	value
0	In PFAM	WN_ef	0.16071428571428573
1	Not In PFAM	WN_ef	0.17603911980440098
2	In PFAM	WN_ef	0.13343403826787512
3	Not In PFAM	WN_ef	0.15463917525773194
4	In PFAM	WN_ef	0.1308518802762855
5	In PFAM	WN_ef	0.5569383945239577
6	In PFAM	WN_ef	0.470971242539338
7	In PFAM	WN_ef	0.2612085769980507
8	Not In PFAM	WN_ef	0.3586387434554974
9	Not In PFAM	WN_ef	0.2155025553662692
10	Not In PFAM	WN_ef	0.10904255319148937
11	Not In PFAM	WN_ef	0.1388888888888889
12	Not In PFAM	WN_ef	0.14614561027837258
13	In PFAM	WN_ef	0.1788434414668547
14	In PFAM	WN_ef	0.185337726523888
15	Not In PFAM	WN_ef	0.31832161687170474
16	Not In PFAM	WN_ef	0.3168235775685632
17	Not In PFAM	WN_ef	0.1605839416058394
18	In PFAM	WN_ef	0.2419221209610605
19	Not In PFAM	WN_ef	0.1498344370860927
20	Not In PFAM	WN_ef	0.3242258652094718
21	Not In PFAM	WN_ef	0.2823076923076923
22	Not In PFAM	WN_ef	0.1921397379912664
23	Not In PFAM	WN_ef	0.7468553459119497
24	Not In PFAM	WN_ef	0.7272163670179789
25	Not In PFAM	WN_ef	0.2668918918918919
26	Not In PFAM	WN_ef	0.39332096474953615
27	Not In PFAM	WN_ef	0.17376338602753694
28	In PFAM	WN_ef	0.7888324873096447
29	In PFAM	WN_ef	0.8616155291170946
30	In PFAM	WN_ef	0.8474708171206226
31	In PFAM	WN_ef	0.7456964006259781
32	In PFAM	WN_ef	0.30605926581158777
33	Not In PFAM	WN_ef	0.26655683690280063
34	In PFAM	WN_ef	0.7094688221709007
35	In PFAM	WN_ef	0.35054617676266137
36	In PFAM	WN_ef	0.6334072431633407
37	Not In PFAM	WN_ef	0.355
38	In PFAM	WN_ef	0.30785123966942146
39	In PFAM	WN_ef	0.4811475409836066
40	In PFAM	WN_ef	0.2742248062015504
41	In PFAM	WN_ef	0.5313609467455621
42	Not In PFAM	WN_ef	0.2847782258064516
43	In PFAM	WN_ef	0.2492004920049201
44	Not In PFAM	WN_ef	0.29899916597164305
45	In PFAM	WN_ef	0.28156054471843944
46	In PFAM	WN_ef	0.365003006614552
47	Not In PFAM	WN_ef	0.6123727486296007
48	Not In PFAM	WN_ef	0.5794757389849414
49	In PFAM	WN_ef	0.5402542372881356
50	In PFAM	WN_ef	0.25183113597016915
51	In PFAM	WN_ef	0.29794658435109383
52	In PFAM	WN_ef	0.1910430839002268
53	Not In PFAM	WN_ef	0.11763518966908798
54	In PFAM	WN_ef	0.7632763276327633
55	In PFAM	WN_ef	0.062162162162162166
56	In PFAM	WN_ef	0.19773095623987036
57	In PFAM	WN_ef	0.5107692307692308
58	In PFAM	WN_ef	0.3367875647668393
59	In PFAM	WN_ef	0.06896551724137931
60	Not In PFAM	WN_ef	0.2693032015065913
61	In PFAM	WN_ef	0.18618618618618615
62	In PFAM	WN_ef	0.5057851239669422
63	Not In PFAM	WN_ef	0.26949152542372884
64	Not In PFAM	WN_ef	0.6487106017191977
65	Not In PFAM	WN_ef	0.5327102803738317
66	Not In PFAM	WN_ef	0.6220173535791758
67	In PFAM	WN_ef	0.21133367139959436
68	Not In PFAM	WN_ef	0.13203463203463206
69	Not In PFAM	WN_ef	0.18434782608695646
70	Not In PFAM	WN_ef	0.3677966101694915
71	Not In PFAM	WN_ef	0.23211446740858505
72	Not In PFAM	WN_ef	0.1213389121338912
73	In PFAM	WN_ef	0.2690582959641256
74	In PFAM	WN_ef	0.3604410751206065
75	Not In PFAM	WN_ef	0.7326283987915407
76	Not In PFAM	WN_ef	0.1303030303030303
77	Not In PFAM	WN_ef	0.19478260869565214
78	Not In PFAM	WN_ef	0.7544169611307421
79	Not In PFAM	WN_ef	0.3883299798792757
80	Not In PFAM	WN_ef	0.19367588932806326
81	Not In PFAM	WN_ef	0.38461538461538464
82	Not In PFAM	WN_ef	0.27509727626459146
83	In PFAM	WN_ef	0.14795244385733158
84	In PFAM	WN_ef	0.2977099236641221
85	Not In PFAM	WN_ef	0.2295825771324864
86	Not In PFAM	WN_ef	0.33859223300970875
87	In PFAM	WN_ef	0.3110706334750051
88	In PFAM	WN_ef	0.10765747221078634
89	Not In PFAM	WN_ef	0.31273062730627305
90	In PFAM	WN_ef	0.5350819672131147
91	In PFAM	WN_ef	0.4057646564992304
92	In PFAM	WN_ef	0.40884615384615386
93	In PFAM	WN_ef	0.4537111576235711
94	Not In PFAM	WN_ef	0.3817455029980013
95	In PFAM	WN_ef	0.6726499763816722
96	In PFAM	WN_ef	0.28147438966012445
97	In PFAM	WN_ef	0.21038193711753533
98	In PFAM	WN_ef	0.13828977416899266
99	In PFAM	WN_ef	0.2555954683614258
100	In PFAM	WN_ef	0.2883187035786631
101	In PFAM	WN_ef	0.24563758389261744
102	In PFAM	WN_ef	0.8240418118466899
103	In PFAM	WN_ef	0.3094289508632138
104	In PFAM	WN_ef	0.2620481927710843
105	Not In PFAM	WN_ef	0.5349206349206349
106	Not In PFAM	WN_ef	0.5981012658227848
107	In PFAM	WN_ef	0.2597402597402597
108	In PFAM	WN_ef	0.09753593429158113
109	In PFAM	WN_ef	0.5935357492654261
110	Not In PFAM	WN_ef	0.6462035541195477
111	Not In PFAM	WN_ef	0.13315926892950392
112	In PFAM	WN_ef	0.4097421203438396
113	Not In PFAM	WN_ef	0.10075566750629723
114	Not In PFAM	WN_ef	0.16666666666666666
115	Not In PFAM	WN_ef	0.6194926568758344
116	Not In PFAM	WN_ef	0.4630281690140845
117	Not In PFAM	WN_ef	0.4705882352941176
118	In PFAM	WN_ef	0.16657473800330946
119	In PFAM	WN_ef	0.6350561797752811
120	Not In PFAM	WN_ef	0.4776785714285714
121	Not In PFAM	WN_ef	0.3673469387755102
122	In PFAM	WN_ef	0.2372990353697749
123	Not In PFAM	WN_ef	0.36075268817204303
124	Not In PFAM	WN_ef	0.28338278931750743
125	Not In PFAM	WN_ef	0.16400580551523947
126	In PFAM	WN_ef	0.1661807580174927
127	In PFAM	WN_ef	0.582901554404145
128	In PFAM	WN_ef	0.3238341968911917
