	Effect	variable	value
0	Rec	BM	0.0
1	Rec	BM	0.0
2	Syn	BM	0.0
3	Rec	BM	0.0
4	Rec	BM	0.0
5	Rec	BM	0.0
6	Syn	BM	0.0
7	Syn	BM	0.029411764705882356
8	Rec	BM	0.0
9	Rec	BM	0.0
10	Rec	BM	0.029411764705882356
11	Syn	BM	0.03333333333333333
12	Rec	BM	0.0
13	Syn	BM	0.0
14	Syn	BM	0.0
15	Rec	BM	0.0
16	Rec	BM	0.0
17	Rec	BM	0.0
18	Rec	BM	0.0
19	Rec	BM	0.0
20	Rec	BM	0.0
21	Syn	BM	0.0
22	Rec	BM	0.0
23	Rec	BM	0.0049261083743842365
24	Rec	BM	0.0
25	Rec	BM	0.0
26	Rec	BM	0.0
27	Syn	BM	0.0
28	Rec	BM	0.0
29	Rec	BM	0.0
30	Rec	BM	0.0
31	Syn	BM	0.0
32	Syn	BM	0.02631578947368421
33	Rec	BM	0.020408163265306117
34	Rec	BM	0.0
35	Rec	BM	0.0
36	Rec	BM	0.043478260869565216
37	Syn	BM	0.0
38	Syn	BM	0.0
39	Rec	BM	0.0023640661938534283
40	Syn	BM	0.008196721311475409
41	Rec	BM	0.14655172413793102
42	Rec	BM	0.0
43	Rec	BM	0.0
44	Rec	BM	0.0
45	Rec	BM	0.0
46	Syn	BM	0.0
47	Rec	BM	0.0
48	Rec	BM	0.012195121951219513
49	Rec	BM	0.0
50	Syn	BM	0.0
51	Rec	BM	0.020408163265306117
52	Rec	BM	0.0
53	Rec	BM	0.14705882352941174
54	Rec	BM	0.0
55	Rec	BM	0.01492537313432836
56	Rec	BM	0.08163265306122447
57	Syn	BM	0.011428571428571429
58	Rec	BM	0.025
59	Rec	BM	0.0
60	Rec	BM	0.0
61	Rec	BM	0.008547008547008548
62	Rec	BM	0.0
63	Rec	BM	0.059701492537313425
64	Rec	BM	0.02666666666666667
65	Rec	BM	0.0
66	Rec	BM	0.004573170731707317
67	Rec	BM	0.007936507936507936
68	Rec	BM	0.0085995085995086
69	Rec	BM	0.002645502645502645
70	Syn	BM	0.0
71	Rec	BM	0.0
72	Syn	BM	0.027027027027027032
73	Rec	BM	0.0
74	Rec	BM	0.017857142857142856
75	Syn	BM	0.01098901098901099
76	Rec	BM	0.15841584158415842
77	Rec	BM	0.0
78	Rec	BM	0.0
79	Syn	BM	0.0
80	Rec	BM	0.0
81	Rec	BM	0.05882352941176471
82	Rec	BM	0.0
83	Rec	BM	0.017857142857142856
84	Rec	BM	0.009009009009009007
85	Rec	BM	0.0
86	Rec	BM	0.0
87	Rec	BM	0.0
88	Rec	BM	0.0
89	Rec	BM	0.0
90	Syn	BM	0.0
91	Rec	BM	0.0
92	Syn	BM	0.0
93	Rec	BM	0.0
94	Syn	BM	0.0
95	Rec	BM	0.0
96	Rec	BM	0.0
97	Rec	BM	0.0
98	Syn	BM	0.0
99	Rec	BM	0.10714285714285714
100	Rec	BM	0.0
101	Rec	BM	0.0
102	Rec	BM	0.043478260869565216
103	Syn	BM	0.0
104	Rec	BM	0.020408163265306117
105	Rec	BM	0.0
106	Rec	BM	0.04
107	Rec	BM	0.006535947712418301
108	Rec	BM	0.0
109	Rec	BM	0.0
110	Syn	BM	0.0
111	Syn	BM	0.0
112	Rec	BM	0.04166666666666666
113	Rec	BM	0.17647058823529413
114	Syn	BM	0.0
115	Rec	BM	0.0032362459546925572
116	Rec	BM	0.0
117	Rec	BM	0.0
118	Rec	BM	0.0
119	Syn	BM	0.008064516129032258
120	Rec	BM	0.0
121	Rec	BM	0.0
122	Rec	BM	0.0
123	Rec	BM	0.0
124	Rec	BM	0.0
125	Rec	BM	0.0
126	Rec	BM	0.0
127	Rec	BM	0.0049751243781094535
